id,filename,sourceFile,publicUrl,fileType,currentPageUsage,proposedDepartment,visualSystem,mediaRole,status,leakRisk
244,hobfarm-courses-banner.jpg,src/data/homepage-systems.ts,https://cdn.hob.farm/pages/projects/images/hobfarm-courses-banner.jpg,image,data,,,literal-url,referenced,false
245,stylefusion-banner.jpg,src/data/homepage-systems.ts,https://cdn.hob.farm/pages/projects/images/stylefusion-banner.jpg,image,data,,,literal-url,referenced,false
263,cute-corrupted-kareena.mp4,src/data/visual-systems.ts,https://cdn.hob.farm/gallery/cute-corrupted/kareena-pink/cute-corrupted-kareena.mp4,video,visual-system,,data-source,file,referenced,false
261,kareena-corrupted.jpg,src/data/visual-systems.ts,https://cdn.hob.farm/gallery/cute-corrupted/kareena-pink/kareena-corrupted.jpg,image,visual-system,,data-source,file,referenced,false
260,kareena-cute.jpg,src/data/visual-systems.ts,https://cdn.hob.farm/gallery/cute-corrupted/kareena-pink/kareena-cute.jpg,image,visual-system,,data-source,file,referenced,false
262,kareena-poster.png,src/data/visual-systems.ts,https://cdn.hob.farm/gallery/cute-corrupted/kareena-pink/kareena-poster.png,image,visual-system,,data-source,file,referenced,false
255,sophia-character-sheet-hd.jpg,src/data/visual-systems.ts,https://cdn.hob.farm/visual-systems/sophia-character-sheet-hd.jpg,image,visual-system,,data-source,file,referenced,true
254,sophia-hero-hd.jpg,src/data/visual-systems.ts,https://cdn.hob.farm/visual-systems/sophia-hero-hd.jpg,image,visual-system,,data-source,file,referenced,true
258,sophia-stella-poster-hd.jpg,src/data/visual-systems.ts,https://cdn.hob.farm/visual-systems/sophia-stella-poster-hd.jpg,image,visual-system,,data-source,file,referenced,true
259,sophia-stella-video.mp4,src/data/visual-systems.ts,https://cdn.hob.farm/visual-systems/sophia-stella-video.mp4,video,visual-system,,data-source,file,referenced,false
257,stella-character-sheet-hd.jpg,src/data/visual-systems.ts,https://cdn.hob.farm/visual-systems/stella-character-sheet-hd.jpg,image,visual-system,,data-source,file,referenced,true
256,stella-hero-hd.png,src/data/visual-systems.ts,https://cdn.hob.farm/visual-systems/stella-hero-hd.png,image,visual-system,,data-source,file,referenced,true
